accuracy,f1_score,precision,recall,train_time,Model,Run
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.2293093204498291,DIO-CV-Optimized RF,1
0.9473684210526315,0.9472836091327017,0.9472678610105512,0.9473684210526315,0.21093201637268066,DIO-CV-Optimized RF,2
0.9824561403508771,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.2288346290588379,DIO-CV-Optimized RF,3
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.21604347229003906,DIO-CV-Optimized RF,4
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.21568083763122559,DIO-CV-Optimized RF,5
0.9590643274853801,0.9588560648934163,0.9592865671381634,0.9590643274853801,0.22739243507385254,DIO-CV-Optimized RF,6
0.9532163742690059,0.9534796587428167,0.9548261477985845,0.9532163742690059,0.2304248809814453,DIO-CV-Optimized RF,7
0.9532163742690059,0.9524998682893421,0.9564708873633359,0.9532163742690059,0.22655582427978516,DIO-CV-Optimized RF,8
0.9649122807017544,0.9646682554269665,0.9655761024182077,0.9649122807017544,0.24489450454711914,DIO-CV-Optimized RF,9
0.9298245614035088,0.9300333562498408,0.9305080884028253,0.9298245614035088,0.22429823875427246,DIO-CV-Optimized RF,10
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.2304234504699707,DIO-CV-Optimized RF,11
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.23397231101989746,DIO-CV-Optimized RF,12
0.9766081871345029,0.9765308332559794,0.9767414491639972,0.9766081871345029,0.25072216987609863,DIO-CV-Optimized RF,13
0.9649122807017544,0.9647962498839692,0.964964200972986,0.9649122807017544,0.22510433197021484,DIO-CV-Optimized RF,14
0.9766081871345029,0.9765308332559794,0.9767414491639972,0.9766081871345029,0.22898268699645996,DIO-CV-Optimized RF,15
0.9649122807017544,0.9646682554269665,0.9655761024182077,0.9649122807017544,0.22753000259399414,DIO-CV-Optimized RF,16
0.9415204678362573,0.9408798947194116,0.942794632803145,0.9415204678362573,0.21428608894348145,DIO-CV-Optimized RF,17
0.9590643274853801,0.959126899754755,0.9592586934195674,0.9590643274853801,0.21979713439941406,DIO-CV-Optimized RF,18
0.9532163742690059,0.9533555708332272,0.9537682590314168,0.9532163742690059,0.22465825080871582,DIO-CV-Optimized RF,19
0.9532163742690059,0.9530616665119588,0.9531869527819747,0.9532163742690059,0.2281968593597412,DIO-CV-Optimized RF,20
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.21530747413635254,DIO-CV-Optimized RF,21
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.221785306930542,DIO-CV-Optimized RF,22
0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,0.22420740127563477,DIO-CV-Optimized RF,23
0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.22542762756347656,DIO-CV-Optimized RF,24
0.9649122807017544,0.9647962498839692,0.964964200972986,0.9649122807017544,0.2233104705810547,DIO-CV-Optimized RF,25
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.2265176773071289,DIO-CV-Optimized RF,26
0.9824561403508771,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.21882009506225586,DIO-CV-Optimized RF,27
0.9824561403508771,0.9824829570377521,0.9825809080029537,0.9824561403508771,0.22547578811645508,DIO-CV-Optimized RF,28
0.935672514619883,0.9350993774297272,0.936274301573142,0.935672514619883,0.21794795989990234,DIO-CV-Optimized RF,29
0.9473684210526315,0.9471006548629639,0.9474625460820457,0.9473684210526315,0.2181110382080078,DIO-CV-Optimized RF,30
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.1331958770751953,RF Default (CV-Selected),1
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.13358211517333984,RF Default (CV-Selected),2
0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.13401293754577637,RF Default (CV-Selected),3
0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.14017176628112793,RF Default (CV-Selected),4
0.9766081871345029,0.9766777854166137,0.9770284296600088,0.9766081871345029,0.13331365585327148,RF Default (CV-Selected),5
0.9532163742690059,0.9530616665119588,0.9531869527819747,0.9532163742690059,0.13000106811523438,RF Default (CV-Selected),6
0.9532163742690059,0.9534796587428167,0.9548261477985845,0.9532163742690059,0.13370895385742188,RF Default (CV-Selected),7
0.9590643274853801,0.9586996038189173,0.9601351542698554,0.9590643274853801,0.14864110946655273,RF Default (CV-Selected),8
0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,0.14162945747375488,RF Default (CV-Selected),9
0.9532163742690059,0.9532163742690059,0.9532163742690059,0.9532163742690059,0.14820122718811035,RF Default (CV-Selected),10
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.1469435691833496,RF Default (CV-Selected),11
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.13944149017333984,RF Default (CV-Selected),12
0.9766081871345029,0.9765308332559794,0.9767414491639972,0.9766081871345029,0.12995171546936035,RF Default (CV-Selected),13
0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,0.1430339813232422,RF Default (CV-Selected),14
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.13034343719482422,RF Default (CV-Selected),15
0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,0.14865636825561523,RF Default (CV-Selected),16
