accuracy,f1_score,precision,recall,Model,Run
0.7933333333333333,0.7928602835928511,0.793803926252091,0.7933333333333333,DIO-XGBoost-Optimized,1
0.8146666666666667,0.8146720035652977,0.8158643480062698,0.8146666666666667,DIO-XGBoost-Optimized,2
0.8333333333333334,0.8336423597268003,0.8360353136008404,0.8333333333333334,DIO-XGBoost-Optimized,3
0.796,0.796003488426407,0.7977726774353967,0.796,DIO-XGBoost-Optimized,4
0.82,0.8213415236724232,0.8237642989018685,0.82,DIO-XGBoost-Optimized,5
0.844,0.8442197404145005,0.8454632981144116,0.844,DIO-XGBoost-Optimized,6
0.8226666666666667,0.8230155587187638,0.8250306292892476,0.8226666666666667,DIO-XGBoost-Optimized,7
0.7973333333333333,0.7979916580463892,0.8017465714059872,0.7973333333333333,DIO-XGBoost-Optimized,8
0.7933333333333333,0.793763480781346,0.7967603696105435,0.7933333333333333,DIO-XGBoost-Optimized,9
0.812,0.8129573009026886,0.8158877316329034,0.812,DIO-XGBoost-Optimized,10
0.8226666666666667,0.8232801222395992,0.8255431515144689,0.8226666666666667,DIO-XGBoost-Optimized,11
0.8346666666666667,0.8345611913818254,0.8374262972081543,0.8346666666666667,DIO-XGBoost-Optimized,12
0.8333333333333334,0.8353389230887182,0.8443259804401431,0.8333333333333334,DIO-XGBoost-Optimized,13
0.82,0.8207106196511741,0.8226956299988478,0.82,DIO-XGBoost-Optimized,14
0.8386666666666667,0.8393318109980796,0.8414380551535005,0.8386666666666667,DIO-XGBoost-Optimized,15
0.8053333333333333,0.8051389770083884,0.8065051787640147,0.8053333333333333,DIO-XGBoost-Optimized,16
0.8253333333333334,0.8243816875208972,0.8266760195161856,0.8253333333333334,DIO-XGBoost-Optimized,17
0.8253333333333334,0.8264871262277035,0.8319822977893273,0.8253333333333334,DIO-XGBoost-Optimized,18
0.8133333333333334,0.8132897716429042,0.8159719983789613,0.8133333333333334,DIO-XGBoost-Optimized,19
0.828,0.8287524875033685,0.8323945258012571,0.828,DIO-XGBoost-Optimized,20
0.812,0.8119218313332209,0.8137996454999952,0.812,DIO-XGBoost-Optimized,21
0.8173333333333334,0.8180822141025476,0.8206137701707982,0.8173333333333334,DIO-XGBoost-Optimized,22
0.8133333333333334,0.813570094984322,0.8154743249145365,0.8133333333333334,DIO-XGBoost-Optimized,23
0.82,0.8210123545595521,0.8250264263783113,0.82,DIO-XGBoost-Optimized,24
0.8026666666666666,0.8033401848129774,0.8079542233687352,0.8026666666666666,DIO-XGBoost-Optimized,25
0.8213333333333334,0.8212680678409622,0.8234363526781988,0.8213333333333334,DIO-XGBoost-Optimized,26
0.824,0.8246444358849104,0.8265377855884669,0.824,DIO-XGBoost-Optimized,27
0.8426666666666667,0.8430862588079049,0.8454189254651246,0.8426666666666667,DIO-XGBoost-Optimized,28
0.812,0.8124734999202557,0.8156358850482827,0.812,DIO-XGBoost-Optimized,29
0.8346666666666667,0.835077040919602,0.8367241818874186,0.8346666666666667,DIO-XGBoost-Optimized,30
0.808,0.8071254180883185,0.8082044492301608,0.808,XGBoost Default (DIO-Selected),1
0.804,0.8037217946885687,0.8052098332307108,0.804,XGBoost Default (DIO-Selected),2
0.8333333333333334,0.8329834057659478,0.8339377761206327,0.8333333333333334,XGBoost Default (DIO-Selected),3
0.8133333333333334,0.8134039591087643,0.815029686810491,0.8133333333333334,XGBoost Default (DIO-Selected),4
0.808,0.8085414208407419,0.8099174049282198,0.808,XGBoost Default (DIO-Selected),5
0.8306666666666667,0.830196843249767,0.8305133204005648,0.8306666666666667,XGBoost Default (DIO-Selected),6
0.8186666666666667,0.8186191789253987,0.8220679261446897,0.8186666666666667,XGBoost Default (DIO-Selected),7
0.8013333333333333,0.801704413893709,0.803790014921931,0.8013333333333333,XGBoost Default (DIO-Selected),8
0.7933333333333333,0.7924214627759177,0.7946718088771562,0.7933333333333333,XGBoost Default (DIO-Selected),9
0.8013333333333333,0.8028979305142987,0.8060818047439755,0.8013333333333333,XGBoost Default (DIO-Selected),10
0.8226666666666667,0.8231446620544827,0.824117615044075,0.8226666666666667,XGBoost Default (DIO-Selected),11
0.836,0.835111361723081,0.8361951275992132,0.836,XGBoost Default (DIO-Selected),12
0.816,0.816626110772007,0.8212706535974391,0.816,XGBoost Default (DIO-Selected),13
0.8186666666666667,0.8191281914456567,0.8211145778329252,0.8186666666666667,XGBoost Default (DIO-Selected),14
0.8173333333333334,0.8172277779982027,0.818939117361207,0.8173333333333334,XGBoost Default (DIO-Selected),15
0.816,0.8153302468823624,0.8160460576604925,0.816,XGBoost Default (DIO-Selected),16
0.8253333333333334,0.8242440014044929,0.8250991091404994,0.8253333333333334,XGBoost Default (DIO-Selected),17
0.836,0.8366155431849293,0.8409478306994549,0.836,XGBoost Default (DIO-Selected),18
0.816,0.8159335504791133,0.8191187920898496,0.816,XGBoost Default (DIO-Selected),19
0.8066666666666666,0.8068065477990659,0.8088659580934154,0.8066666666666666,XGBoost Default (DIO-Selected),20
0.8173333333333334,0.8173202453293039,0.8183718262702717,0.8173333333333334,XGBoost Default (DIO-Selected),21
0.8186666666666667,0.8189239002591174,0.8198677222238254,0.8186666666666667,XGBoost Default (DIO-Selected),22
0.816,0.8155956435509154,0.8178985057094731,0.816,XGBoost Default (DIO-Selected),23
0.82,0.8198745386671079,0.8216260125642013,0.82,XGBoost Default (DIO-Selected),24
0.82,0.820324920958621,0.822232420252361,0.82,XGBoost Default (DIO-Selected),25
0.8146666666666667,0.8140073582140526,0.8171465544351274,0.8146666666666667,XGBoost Default (DIO-Selected),26
0.8253333333333334,0.8250309040774559,0.8259039490111871,0.8253333333333334,XGBoost Default (DIO-Selected),27
0.836,0.8355176848370727,0.8398530175578144,0.836,XGBoost Default (DIO-Selected),28
0.808,0.8077297293452103,0.8090632053504672,0.808,XGBoost Default (DIO-Selected),29
0.8293333333333334,0.8291037924567375,0.8307795941084819,0.8293333333333334,XGBoost Default (DIO-Selected),30
0.816,0.8162468282885809,0.8182418572101134,0.816,XGBoost Default (All),1
0.84,0.8401891493676907,0.8418487965345337,0.84,XGBoost Default (All),2
0.82,0.8195701506387058,0.8213874893105493,0.82,XGBoost Default (All),3
0.8253333333333334,0.8246718507707083,0.8257942969178418,0.8253333333333334,XGBoost Default (All),4
0.836,0.8349768670998621,0.8367450463457508,0.836,XGBoost Default (All),5
0.8573333333333333,0.8577855203260204,0.862447092593744,0.8573333333333333,XGBoost Default (All),6
0.816,0.8163172341618387,0.8187930121086785,0.816,XGBoost Default (All),7
0.8186666666666667,0.8189177004450726,0.8201263062147672,0.8186666666666667,XGBoost Default (All),8
0.8133333333333334,0.8129515327734081,0.8156759502257207,0.8133333333333334,XGBoost Default (All),9
0.8253333333333334,0.8259812953704844,0.8274751934597135,0.8253333333333334,XGBoost Default (All),10
0.8466666666666667,0.8463998488389409,0.8465553674071095,0.8466666666666667,XGBoost Default (All),11
0.8386666666666667,0.8383657566298394,0.8403774656481797,0.8386666666666667,XGBoost Default (All),12
0.8253333333333334,0.8256734082662749,0.8295679890932487,0.8253333333333334,XGBoost Default (All),13
0.824,0.8246014200052754,0.8260211315808522,0.824,XGBoost Default (All),14
0.8306666666666667,0.830549191220831,0.8318748503914857,0.8306666666666667,XGBoost Default (All),15
0.8186666666666667,0.8179806352401274,0.819749921290962,0.8186666666666667,XGBoost Default (All),16
0.836,0.8351358016864376,0.8378419776357149,0.836,XGBoost Default (All),17
0.852,0.8518994228288721,0.8541549408624515,0.852,XGBoost Default (All),18
0.8293333333333334,0.8285640945939092,0.8306359637156834,0.8293333333333334,XGBoost Default (All),19
0.8266666666666667,0.8272020066811466,0.829830578557189,0.8266666666666667,XGBoost Default (All),20
0.8213333333333334,0.8207275301408874,0.8237113531080033,0.8213333333333334,XGBoost Default (All),21
0.828,0.8273045731487002,0.8275809900993084,0.828,XGBoost Default (All),22
0.8493333333333334,0.8491631906557197,0.8503049026785671,0.8493333333333334,XGBoost Default (All),23
0.8266666666666667,0.8260839752383274,0.8274447211255479,0.8266666666666667,XGBoost Default (All),24
0.8466666666666667,0.846856516410722,0.8486627284821783,0.8466666666666667,XGBoost Default (All),25
0.8333333333333334,0.8340484709688274,0.8363942262530931,0.8333333333333334,XGBoost Default (All),26
0.828,0.8282794692637265,0.8292653940019314,0.828,XGBoost Default (All),27
0.8506666666666667,0.8510347660288884,0.8549892470072844,0.8506666666666667,XGBoost Default (All),28
0.848,0.8479955590966625,0.8505084837344146,0.848,XGBoost Default (All),29
0.852,0.8518146529452615,0.8541192802824953,0.852,XGBoost Default (All),30
0.8093333333333333,0.8080843159801865,0.8078773039825671,0.8093333333333333,Random Forest (DIO-Selected),1
0.8093333333333333,0.8093146684814742,0.8109441370372509,0.8093333333333333,Random Forest (DIO-Selected),2
0.808,0.8078314544624678,0.8090810828725032,0.808,Random Forest (DIO-Selected),3
0.8066666666666666,0.8063006204496093,0.8078844995377026,0.8066666666666666,Random Forest (DIO-Selected),4
0.8013333333333333,0.8002304544516169,0.805618743307571,0.8013333333333333,Random Forest (DIO-Selected),5
0.8186666666666667,0.8190266036552768,0.8216180233299433,0.8186666666666667,Random Forest (DIO-Selected),6
0.7946666666666666,0.7946210019593647,0.7974318682048529,0.7946666666666666,Random Forest (DIO-Selected),7
0.788,0.7884872493996199,0.7930152554669327,0.788,Random Forest (DIO-Selected),8
0.7826666666666666,0.7825624625061566,0.7869018761518957,0.7826666666666666,Random Forest (DIO-Selected),9
0.8173333333333334,0.8171347274749792,0.8186723122434177,0.8173333333333334,Random Forest (DIO-Selected),10
0.8253333333333334,0.8249027658760518,0.8259942500330286,0.8253333333333334,Random Forest (DIO-Selected),11
0.8333333333333334,0.8327439899994451,0.835870692016832,0.8333333333333334,Random Forest (DIO-Selected),12
0.82,0.8205009087409274,0.822196074762823,0.82,Random Forest (DIO-Selected),13
0.824,0.8238772682994999,0.8248369726212625,0.824,Random Forest (DIO-Selected),14
0.8053333333333333,0.8053504990710156,0.8088248222058119,0.8053333333333333,Random Forest (DIO-Selected),15
0.7946666666666666,0.7945460456934955,0.7965353002352167,0.7946666666666666,Random Forest (DIO-Selected),16
0.8146666666666667,0.8128048794804578,0.817232716079568,0.8146666666666667,Random Forest (DIO-Selected),17
0.8373333333333334,0.8374264984531595,0.8396200814633595,0.8373333333333334,Random Forest (DIO-Selected),18
0.8146666666666667,0.8145949401458497,0.8198509693309696,0.8146666666666667,Random Forest (DIO-Selected),19
0.8093333333333333,0.8087920486403785,0.8110704460983696,0.8093333333333333,Random Forest (DIO-Selected),20
0.788,0.7872558388118323,0.7903854309523749,0.788,Random Forest (DIO-Selected),21
0.8026666666666666,0.8015229129096194,0.8048622319322176,0.8026666666666666,Random Forest (DIO-Selected),22
0.8133333333333334,0.8118044447311783,0.8140587122111489,0.8133333333333334,Random Forest (DIO-Selected),23
0.8226666666666667,0.8216661015565087,0.8231658090167402,0.8226666666666667,Random Forest (DIO-Selected),24
0.8173333333333334,0.8170937455097416,0.8190745298080375,0.8173333333333334,Random Forest (DIO-Selected),25
0.832,0.8318822330513956,0.8326420545830241,0.832,Random Forest (DIO-Selected),26
0.7986666666666666,0.7972536990942563,0.7997623058365189,0.7986666666666666,Random Forest (DIO-Selected),27
0.8253333333333334,0.8245895104627032,0.828239861361976,0.8253333333333334,Random Forest (DIO-Selected),28
0.816,0.8155809699897042,0.8170576419512542,0.816,Random Forest (DIO-Selected),29
0.8266666666666667,0.827074930201077,0.8286007038444627,0.8266666666666667,Random Forest (DIO-Selected),30
0.8146666666666667,0.8135819443979351,0.8137182868035003,0.8146666666666667,Random Forest (All),1
0.8133333333333334,0.8121246082304013,0.8139752372103513,0.8133333333333334,Random Forest (All),2
0.8053333333333333,0.8044699993935133,0.8055486026124211,0.8053333333333333,Random Forest (All),3
0.8333333333333334,0.8329162342129109,0.8355042367242929,0.8333333333333334,Random Forest (All),4
0.8266666666666667,0.8264491397285876,0.8321840649998432,0.8266666666666667,Random Forest (All),5
0.836,0.8364267747099173,0.8388803667315037,0.836,Random Forest (All),6
0.8186666666666667,0.8182404346126453,0.8207978981597779,0.8186666666666667,Random Forest (All),7
0.8133333333333334,0.8136241852456748,0.8168377617920545,0.8133333333333334,Random Forest (All),8
0.792,0.7910413100185307,0.7930793249089879,0.792,Random Forest (All),9
0.8213333333333334,0.8215944378588554,0.8263961669652025,0.8213333333333334,Random Forest (All),10
0.8346666666666667,0.8343767759105699,0.8354045769573952,0.8346666666666667,Random Forest (All),11
0.844,0.8440045001526099,0.8500049234440109,0.844,Random Forest (All),12
0.812,0.8119277643022209,0.8133143101302044,0.812,Random Forest (All),13
0.824,0.8230272680825963,0.8246232103106304,0.824,Random Forest (All),14
0.808,0.8076931272186989,0.8131399744073144,0.808,Random Forest (All),15
0.808,0.807225846102366,0.808428819371417,0.808,Random Forest (All),16
0.824,0.8213818142102711,0.822728865317819,0.824,Random Forest (All),17
0.8306666666666667,0.830190604349689,0.8320294935103812,0.8306666666666667,Random Forest (All),18
0.832,0.8314151114687134,0.8336939931085839,0.832,Random Forest (All),19
0.8146666666666667,0.8142814251761495,0.8162186117590245,0.8146666666666667,Random Forest (All),20
0.8106666666666666,0.8092980581545158,0.8114648419227045,0.8106666666666666,Random Forest (All),21
0.8226666666666667,0.8221355231654786,0.825523031882404,0.8226666666666667,Random Forest (All),22
0.8426666666666667,0.8411662398067706,0.8461883942794758,0.8426666666666667,Random Forest (All),23
0.816,0.8153385742802457,0.816657349696754,0.816,Random Forest (All),24
0.8386666666666667,0.837945998182967,0.8389781673849391,0.8386666666666667,Random Forest (All),25
0.844,0.8439068468316594,0.8458305496946762,0.844,Random Forest (All),26
0.8186666666666667,0.818191113443902,0.8207345603114434,0.8186666666666667,Random Forest (All),27
0.828,0.8279324491804885,0.8352207731465376,0.828,Random Forest (All),28
0.8266666666666667,0.826773136723987,0.8297511628260654,0.8266666666666667,Random Forest (All),29
0.8253333333333334,0.8260056252458736,0.8276631920772641,0.8253333333333334,Random Forest (All),30
