Model,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_F1,Std_F1,Mean_Precision,Mean_Recall,Features,Rank
XGBoost Default (All),0.8326666666666666,0.012482877161224582,0.8133333333333334,0.8573333333333333,0.8325762806377249,0.012534707191892447,0.8346042184625706,0.8326666666666666,2048,1
Random Forest (All),0.8226666666666668,0.012292725943057171,0.792,0.844,0.8221562290132914,0.012435527501577955,0.8248173582815661,0.8226666666666668,2048,2
DIO-XGBoost-Optimized,0.8191111111111112,0.013780644862977424,0.7933333333333333,0.844,0.8195405366092127,0.013910915634886358,0.8222569939938097,0.8191111111111112,598,3
XGBoost Default (DIO-Selected),0.8176,0.010751881833565822,0.7933333333333333,0.836,0.817507084643014,0.01066024492604031,0.8194627224003438,0.8176,598,4
Random Forest (DIO-Selected),0.8119111111111111,0.013692640178640806,0.7826666666666666,0.8373333333333334,0.8114952596513016,0.013755512899442717,0.8139642236159877,0.8119111111111111,598,5
