accuracy,f1_score,precision,recall,train_time,Model,Run
0.9883040935672515,0.9882654166279896,0.9885186973550083,0.9883040935672515,0.031897783279418945,DIO-XGBoost-Optimized,1
0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.026772260665893555,DIO-XGBoost-Optimized,2
0.9532163742690059,0.9536839433439873,0.958414554905783,0.9532163742690059,0.031120777130126953,DIO-XGBoost-Optimized,3
0.9766081871345029,0.9764455036179777,0.9774511353458722,0.9766081871345029,0.025389432907104492,DIO-XGBoost-Optimized,4
0.9532163742690059,0.9533555708332272,0.9537682590314168,0.9532163742690059,0.026015520095825195,DIO-XGBoost-Optimized,5
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.023058414459228516,DIO-XGBoost-Optimized,6
0.9532163742690059,0.9535890050422652,0.9563777430374617,0.9532163742690059,0.02675771713256836,DIO-XGBoost-Optimized,7
0.9649122807017544,0.9646682554269665,0.9655761024182077,0.9649122807017544,0.025893211364746094,DIO-XGBoost-Optimized,8
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.02892470359802246,DIO-XGBoost-Optimized,9
0.9590643274853801,0.9588560648934163,0.9592865671381634,0.9590643274853801,0.022169113159179688,DIO-XGBoost-Optimized,10
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.027153730392456055,DIO-XGBoost-Optimized,11
0.9766081871345029,0.9766777854166137,0.9770284296600088,0.9766081871345029,0.029212474822998047,DIO-XGBoost-Optimized,12
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.03012824058532715,DIO-XGBoost-Optimized,13
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.028290987014770508,DIO-XGBoost-Optimized,14
0.9473684210526315,0.9477281721049033,0.9497614453866978,0.9473684210526315,0.028232097625732422,DIO-XGBoost-Optimized,15
0.9824561403508771,0.9823668849543213,0.9829346092503988,0.9824561403508771,0.025758028030395508,DIO-XGBoost-Optimized,16
0.9532163742690059,0.9530616665119588,0.9531869527819747,0.9532163742690059,0.026616573333740234,DIO-XGBoost-Optimized,17
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.02439117431640625,DIO-XGBoost-Optimized,18
0.9473684210526315,0.9475969145757922,0.9484334400870142,0.9473684210526315,0.023251056671142578,DIO-XGBoost-Optimized,19
0.9707602339181286,0.9704997170135123,0.9720655806182121,0.9707602339181286,0.024075746536254883,DIO-XGBoost-Optimized,20
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.028447389602661133,DIO-XGBoost-Optimized,21
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.02646946907043457,DIO-XGBoost-Optimized,22
0.9824561403508771,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.03125762939453125,DIO-XGBoost-Optimized,23
0.9532163742690059,0.9534796587428167,0.9548261477985845,0.9532163742690059,0.02976083755493164,DIO-XGBoost-Optimized,24
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.027386188507080078,DIO-XGBoost-Optimized,25
0.9473684210526315,0.9472836091327017,0.9472678610105512,0.9473684210526315,0.03407859802246094,DIO-XGBoost-Optimized,26
0.9824561403508771,0.9824829570377521,0.9825809080029537,0.9824561403508771,0.02585434913635254,DIO-XGBoost-Optimized,27
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.028024911880493164,DIO-XGBoost-Optimized,28
0.9473684210526315,0.9468994906243223,0.9482047279214987,0.9473684210526315,0.023060083389282227,DIO-XGBoost-Optimized,29
0.9532163742690059,0.9533555708332272,0.9537682590314168,0.9532163742690059,0.029920101165771484,DIO-XGBoost-Optimized,30
0.9824561403508771,0.9824278697109006,0.9824716111265819,0.9824561403508771,0.038330078125,XGBoost Default (XGB-Selected),1
0.935672514619883,0.9353452448325115,0.9356385250259279,0.935672514619883,0.03949308395385742,XGBoost Default (XGB-Selected),2
0.9590643274853801,0.9594334736465425,0.963100238860061,0.9590643274853801,0.038732051849365234,XGBoost Default (XGB-Selected),3
0.9590643274853801,0.9588560648934163,0.9592865671381634,0.9590643274853801,0.0359196662902832,XGBoost Default (XGB-Selected),4
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.04101109504699707,XGBoost Default (XGB-Selected),5
